Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthWidth,MouthHeight,Timestamp
Doubt,17.000000,16.124515,19.416488,15.652476,49.819675,40.261644,28.000000,85.023526,18.722000ms,
Doubt,17.029386,16.031220,18.439089,16.155494,48.414874,41.231056,29.000000,91.021975,18.825000ms,
Doubt,16.000000,16.031220,20.223748,16.763055,49.040799,41.231056,29.000000,90.049986,18.928000ms,
Scared,15.000000,14.035669,21.840330,17.464249,52.630789,42.579338,48.000000,94.005319,19.040000ms,
Scared,15.000000,14.142136,20.880613,17.088007,52.630789,41.773197,54.000000,98.005102,19.162000ms,
Scared,15.000000,14.035669,20.615528,17.464249,51.855569,41.976184,55.036352,102.019606,19.256000ms,
Scared,15.000000,14.035669,20.880613,16.552945,52.497619,39.623226,56.035703,101.000000,19.362000ms,
Scared,16.000000,14.035669,19.924859,16.155494,51.739733,41.976184,57.035077,102.000000,19.454000ms,
Scared,16.031220,14.035669,19.416488,16.155494,51.088159,41.976184,58.000000,102.000000,19.557000ms,
Scared,16.000000,14.035669,19.416488,16.155494,51.088159,41.976184,58.008620,102.000000,19.661000ms,
Scared,15.000000,14.035669,18.439089,17.088007,49.040799,42.953463,55.000000,103.000000,19.769000ms,
Scared,15.000000,14.142136,19.416488,16.763055,49.678969,42.579338,53.000000,103.019416,19.864000ms,
Scared,14.000000,14.035669,18.681542,17.464249,51.088159,42.755117,52.000000,105.004762,19.968000ms,
Scared,15.000000,14.142136,18.248288,15.811388,49.040799,42.579338,52.000000,103.043680,20.062000ms,
Scared,13.000000,13.038405,18.439089,16.552945,49.819675,43.737855,51.039201,104.000000,20.171000ms,
Scared,14.000000,14.035669,18.439089,17.464249,49.819675,43.566042,52.038447,104.019229,20.274000ms,
Scared,9.219544,7.000000,23.769729,16.763055,63.245553,59.413803,54.000000,109.018347,20.380000ms,
Scared,10.000000,10.000000,19.924859,16.155494,56.035703,49.648766,52.009614,105.019046,20.484000ms,
Scared,11.180340,12.165525,17.720045,16.124515,54.817880,46.389654,51.009803,105.000000,20.586000ms,
Scared,14.000000,13.038405,18.681542,16.552945,49.819675,44.553339,51.009803,105.000000,20.696000ms,
